date,saham,volume
2020-07-09,ACES,8125300.0
2020-07-10,ACES,5855600.0
2020-07-13,ACES,16774700.0
2020-07-14,ACES,13052800.0
2020-07-15,ACES,11953300.0
2020-07-16,ACES,10489400.0
2020-07-17,ACES,9461200.0
2020-07-20,ACES,14598900.0
2020-07-21,ACES,17024300.0
2020-07-22,ACES,10969700.0
2020-07-23,ACES,7500900.0
2020-07-24,ACES,10768800.0
2020-07-27,ACES,4744700.0
2020-07-28,ACES,12864500.0
2020-07-29,ACES,19265400.0
2020-07-30,ACES,13366200.0
2020-08-03,ACES,20586400.0
2020-08-04,ACES,11673400.0
2020-08-05,ACES,5225400.0
2020-08-06,ACES,20134100.0
2020-08-07,ACES,14610700.0
2020-08-10,ACES,9431400.0
2020-08-11,ACES,17365600.0
2020-08-12,ACES,9931500.0
2020-08-13,ACES,8320800.0
2020-08-14,ACES,20932000.0
2020-08-18,ACES,20415200.0
2020-08-19,ACES,8549200.0
2020-08-24,ACES,14272400.0
2020-08-25,ACES,25988600.0
2020-08-26,ACES,11584700.0
2020-08-27,ACES,21248600.0
2020-08-28,ACES,13066500.0
2020-08-31,ACES,29206500.0
2020-09-01,ACES,20611500.0
2020-09-02,ACES,25093000.0
2020-09-03,ACES,16756300.0
2020-09-04,ACES,7640700.0
2020-09-07,ACES,6004700.0
2020-09-08,ACES,20544900.0
2020-09-09,ACES,16829100.0
2020-09-10,ACES,24540100.0
2020-09-11,ACES,22527800.0
2020-09-14,ACES,11971000.0
2020-09-15,ACES,16578400.0
2020-09-16,ACES,6808200.0
2020-09-17,ACES,9637200.0
2020-09-18,ACES,14273100.0
2020-09-21,ACES,19670700.0
2020-09-22,ACES,11456100.0
2020-09-23,ACES,10982400.0
2020-09-24,ACES,11201800.0
2020-09-25,ACES,13510800.0
2020-09-28,ACES,26529300.0
2020-09-29,ACES,6896900.0
2020-09-30,ACES,5859600.0
2020-10-01,ACES,6943400.0
2020-10-02,ACES,3102100.0
2020-10-05,ACES,3562000.0
2020-10-06,ACES,4514000.0
2020-10-07,ACES,17159600.0
2020-10-08,ACES,11935600.0
2020-10-09,ACES,2971500.0
2020-10-12,ACES,6982400.0
2020-10-13,ACES,16807600.0
2020-10-14,ACES,16418000.0
2020-10-15,ACES,9857000.0
2020-10-16,ACES,10298700.0
2020-10-19,ACES,3575000.0
2020-10-20,ACES,5863100.0
2020-10-21,ACES,18544200.0
2020-10-22,ACES,10650100.0
2020-10-23,ACES,12891400.0
2020-10-26,ACES,5503700.0
2020-10-27,ACES,9949000.0
2020-11-02,ACES,14878800.0
2020-11-03,ACES,5412100.0
2020-11-04,ACES,7001700.0
2020-11-05,ACES,9511100.0
2020-11-06,ACES,8896500.0
2020-11-09,ACES,13168900.0
2020-11-10,ACES,23966500.0
2020-11-11,ACES,14034200.0
2020-11-12,ACES,9312500.0
2020-11-13,ACES,9359000.0
2020-11-16,ACES,7643700.0
2020-11-17,ACES,20525400.0
2020-11-18,ACES,19225000.0
2020-11-19,ACES,11616500.0
2020-11-20,ACES,20916900.0
2020-11-23,ACES,15954200.0
2020-11-24,ACES,24219100.0
2020-11-25,ACES,12641400.0
2020-11-26,ACES,7321200.0
2020-11-27,ACES,27577400.0
2020-11-30,ACES,54091900.0
2020-12-01,ACES,20702400.0
2020-12-02,ACES,17316500.0
2020-12-03,ACES,13146800.0
2020-12-04,ACES,9583600.0
2020-12-07,ACES,14414500.0
2020-12-08,ACES,17687700.0
2020-12-10,ACES,30032000.0
2020-12-11,ACES,43287500.0
2020-12-14,ACES,45771700.0
2020-12-15,ACES,28531800.0
2020-12-16,ACES,22594300.0
2020-12-17,ACES,30028800.0
2020-12-18,ACES,13756100.0
2020-12-21,ACES,9240500.0
2020-12-22,ACES,21385100.0
2020-12-23,ACES,20696500.0
2020-12-28,ACES,8104000.0
2020-12-29,ACES,6238700.0
2020-12-30,ACES,15234600.0
2021-01-04,ACES,12191600.0
2021-01-05,ACES,19742400.0
2021-01-06,ACES,14464700.0
2021-01-07,ACES,13680600.0
2021-01-08,ACES,13376700.0
2021-01-11,ACES,19748100.0
2021-01-12,ACES,10593900.0
2021-01-13,ACES,7137900.0
2021-01-14,ACES,25159900.0
